"ch_version","name","description","allow_readonly"
"25.3.8.30001.altinityfips","hudiCluster","The table function can be used to read the Hudi table stored on object store in parallel for many nodes in a specified cluster.",0
"25.3.8.30001.altinityfips","icebergAzureCluster","The table function can be used to read the Iceberg table stored on Azure object store in parallel for many nodes in a specified cluster.",0
"25.3.8.30001.altinityfips","icebergS3Cluster","The table function can be used to read the Iceberg table stored on S3 object store in parallel for many nodes in a specified cluster.",0
"25.3.8.30001.altinityfips","icebergLocal","The table function can be used to read the Iceberg table stored locally.",0
"25.3.8.30001.altinityfips","icebergHDFS","The table function can be used to read the Iceberg table stored on HDFS virtual filesystem.",0
"25.3.8.30001.altinityfips","icebergAzure","The table function can be used to read the Iceberg table stored on Azure object store.",0
"25.3.8.30001.altinityfips","icebergS3","The table function can be used to read the Iceberg table stored on S3 object store.",0
"25.3.8.30001.altinityfips","iceberg","The table function can be used to read the Iceberg table stored on S3 object store. Alias to icebergS3",0
"25.3.8.30001.altinityfips","hdfsCluster","The table function can be used to read the data stored on HDFS in parallel for many nodes in a specified cluster.",0
"25.3.8.30001.altinityfips","azureBlobStorageCluster","The table function can be used to read the data stored on Azure Blob Storage in parallel for many nodes in a specified cluster.",0
"25.3.8.30001.altinityfips","oss","The table function can be used to read the data stored on OSS.",0
"25.3.8.30001.altinityfips","timeSeriesMetrics","Provides direct access to the 'metrics' target table for a specified TimeSeries table.",0
"25.3.8.30001.altinityfips","fuzzQuery","Perturbs a query string with random variations.",1
"25.3.8.30001.altinityfips","timeSeriesData","Provides direct access to the 'data' target table for a specified TimeSeries table.",0
"25.3.8.30001.altinityfips","format","
Extracts table structure from data and parses it according to specified input format.
Syntax: `format(format_name, data)`.
Parameters:
    - `format_name` - the format of the data.
    - `data ` - String literal or constant expression that returns a string containing data in specified format.
Returned value: A table with data parsed from `data` argument according specified format and extracted schema.
",0
"25.3.8.30001.altinityfips","loop","The table function can be used to continuously output query results in an infinite loop.",0
"25.3.8.30001.altinityfips","postgresql","",0
"25.3.8.30001.altinityfips","clusterAllReplicas","",1
"25.3.8.30001.altinityfips","viewIfPermitted","",1
"25.3.8.30001.altinityfips","view","",1
"25.3.8.30001.altinityfips","jdbc","",0
"25.3.8.30001.altinityfips","icebergHDFSCluster","The table function can be used to read the Iceberg table stored on HDFS virtual filesystem in parallel for many nodes in a specified cluster.",0
"25.3.8.30001.altinityfips","s3Cluster","The table function can be used to read the data stored on S3 in parallel for many nodes in a specified cluster.",0
"25.3.8.30001.altinityfips","timeSeriesTags","Provides direct access to the 'tags' target table for a specified TimeSeries table.",0
"25.3.8.30001.altinityfips","hive","",0
"25.3.8.30001.altinityfips","hdfs","The table function can be used to read the data stored on HDFS virtual filesystem.",0
"25.3.8.30001.altinityfips","dictionary","",0
"25.3.8.30001.altinityfips","numbers_mt","",1
"25.3.8.30001.altinityfips","mergeTreeIndex","Represents the contents of index and marks files of MergeTree tables. It can be used for introspection",1
"25.3.8.30001.altinityfips","hudi","The table function can be used to read the Hudi table stored on object store.",0
"25.3.8.30001.altinityfips","s3","The table function can be used to read the data stored on AWS S3.",0
"25.3.8.30001.altinityfips","cosn","The table function can be used to read the data stored on COSN.",0
"25.3.8.30001.altinityfips","generateRandom","",1
"25.3.8.30001.altinityfips","merge","",0
"25.3.8.30001.altinityfips","url","",0
"25.3.8.30001.altinityfips","zeros_mt","
                Generates a stream of zeros (a table with one column 'zero' of type 'UInt8') of specified size.
                This table function is used in performance tests, where you want to spend as little time as possible to data generation while testing some other parts of queries.
                In contrast to the `zeros`, this table function is using multiple threads for data generation, according to the `max_threads` setting.
                Example:
                [example:1]
                This query will test the speed of `randomPrintableASCII` function using multiple threads.
                See also the `system.zeros` table.",0
"25.3.8.30001.altinityfips","executable","",0
"25.3.8.30001.altinityfips","fuzzJSON","Perturbs a JSON string with random variations.",1
"25.3.8.30001.altinityfips","urlCluster","",0
"25.3.8.30001.altinityfips","fileCluster","This table function is used for distributed reading of files in cluster nodes filesystems.",0
"25.3.8.30001.altinityfips","values","",1
"25.3.8.30001.altinityfips","file","",0
"25.3.8.30001.altinityfips","redis","",0
"25.3.8.30001.altinityfips","zeros","
                Generates a stream of zeros (a table with one column 'zero' of type 'UInt8') of specified size.
                This table function is used in performance tests, where you want to spend as little time as possible to data generation while testing some other parts of queries.
                In contrast to the `zeros_mt`, this table function is using single thread for data generation.
                Example:
                [example:1]
                This query will test the speed of `randomPrintableASCII` function using single thread.
                See also the `system.zeros_mt` table.",0
"25.3.8.30001.altinityfips","input","",0
"25.3.8.30001.altinityfips","mysql","",0
"25.3.8.30001.altinityfips","odbc","",0
"25.3.8.30001.altinityfips","generateSeries","",1
"25.3.8.30001.altinityfips","mongodb","Allows get data from MongoDB collection.",0
"25.3.8.30001.altinityfips","generate_series","",1
"25.3.8.30001.altinityfips","sqlite","",0
"25.3.8.30001.altinityfips","cluster","",1
"25.3.8.30001.altinityfips","gcs","The table function can be used to read the data stored on GCS.",0
"25.3.8.30001.altinityfips","remoteSecure","",0
"25.3.8.30001.altinityfips","numbers","",1
"25.3.8.30001.altinityfips","azureBlobStorage","The table function can be used to read the data stored on Azure Blob Storage.",0
"25.3.8.30001.altinityfips","viewExplain","
                Returns result of EXPLAIN query.
                The function should not be called directly but can be invoked via `SELECT * FROM (EXPLAIN <query>)`.
                You can use this query to process the result of EXPLAIN further using SQL (e.g., in tests).
                Example:
                [example:1]
                ",0
"25.3.8.30001.altinityfips","null","",1
"25.3.8.30001.altinityfips","remote","",0
